id,nom_grossiste,description,categorie,logo_url,banner_url,adresse,email,telephone,site_web
31,Glamour Vogue,"Collections enfantines colorées et confortables, conçues pour durer.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 119",contact@glamourvogue.com,+33 1 83 66 72 76,https://www.glamourvogue.com
32,Mode Street,"Créateur de bijoux fantaisie haut de gamme, alliant tradition et modernité.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 356",contact@modestreet.com,+33 1 86 90 25 65,https://www.modestreet.com
33,Royal Concept,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 244",contact@royalconcept.com,+33 1 90 82 87 71,https://www.royalconcept.com
34,Golden Garden,"Spécialiste du prêt-à-porter féminin, proposant des collections tendances et élégantes pour toutes les saisons.",vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 953",contact@goldengarden.com,+33 1 89 86 22 22,https://www.goldengarden.com
35,Style Gallery,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 659",contact@stylegallery.com,+33 1 49 65 53 40,https://www.stylegallery.com
36,Urban Apparel,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 202",contact@urbanapparel.com,+33 1 70 91 34 69,https://www.urbanapparel.com
37,Style Trends,"Collections enfantines colorées et confortables, conçues pour durer.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 737",contact@styletrends.com,+33 1 58 66 48 89,https://www.styletrends.com
38,Vogue Wear,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,sacs,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 638",contact@voguewear.com,+33 1 47 76 36 39,https://www.voguewear.com
39,Silver Vogue,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 110",contact@silvervogue.com,+33 1 60 88 64 76,https://www.silvervogue.com
40,Elite Gallery,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 767",contact@elitegallery.com,+33 1 49 88 79 74,https://www.elitegallery.com
