id_section,nom_grossiste,nom_clean,categorie,email,telephone,adresse,ville,code_postal,site_web,description,annee_fondation,note,pays,montant_minimum,delai_livraison,logo_url,banner_url
AUTO-001,Chic Design,chic-design,Bijouterie,contact@chicdesign.com,0168253210,"Zone B, Local 667, 93300 Aubervilliers",Aubervilliers,93300,https://www.chicdesign.com,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552735/logos/chic-design-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552736/banners/chic-design-banner.jpg
AUTO-002,Fashion Lane,fashion-lane,Maroquinerie,contact@fashionlane.com,0173836480,"Zone C, Local 371, 93300 Aubervilliers",Aubervilliers,93300,https://www.fashionlane.com,"Collections enfantines colorées et confortables, conçues pour durer.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552737/logos/fashion-lane-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552738/banners/fashion-lane-banner.jpg
AUTO-003,Silver Avenue,silver-avenue,Chaussures,contact@silveravenue.com,0160933829,"Zone C, Local 760, 93300 Aubervilliers",Aubervilliers,93300,https://www.silveravenue.com,Le meilleur de la mode italienne importée directement de Milan.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552739/logos/silver-avenue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552740/banners/silver-avenue-banner.jpg
AUTO-004,Royal Gallery,royal-gallery,Bijouterie,contact@royalgallery.com,0159744811,"Zone B, Local 880, 93300 Aubervilliers",Aubervilliers,93300,https://www.royalgallery.com,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552742/logos/royal-gallery-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552743/banners/royal-gallery-banner.jpg
AUTO-005,Atelier Wear,atelier-wear,Vetements,contact@atelierwear.com,0190771150,"Zone A, Local 433, 93300 Aubervilliers",Aubervilliers,93300,https://www.atelierwear.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552744/logos/atelier-wear-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552745/banners/atelier-wear-banner.jpg
AUTO-006,Vogue Loft,vogue-loft,Accessoires,contact@vogueloft.com,0177636825,"Zone C, Local 246, 93300 Aubervilliers",Aubervilliers,93300,https://www.vogueloft.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552747/logos/vogue-loft-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552748/banners/vogue-loft-banner.jpg
AUTO-007,Silver Wear,silver-wear,Chaussures,contact@silverwear.com,0188462510,"Zone C, Local 400, 93300 Aubervilliers",Aubervilliers,93300,https://www.silverwear.com,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552749/logos/silver-wear-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552749/banners/silver-wear-banner.jpg
AUTO-008,Atelier House,atelier-house,Bijouterie,contact@atelierhouse.com,0190289339,"Zone B, Local 194, 93300 Aubervilliers",Aubervilliers,93300,https://www.atelierhouse.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552752/logos/atelier-house-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552753/banners/atelier-house-banner.jpg
AUTO-009,Atelier Vogue,atelier-vogue,Chaussures,contact@ateliervogue.com,0128556351,"Zone C, Local 480, 93300 Aubervilliers",Aubervilliers,93300,https://www.ateliervogue.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552755/logos/atelier-vogue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552756/banners/atelier-vogue-banner.jpg
AUTO-010,Studio Apparel,studio-apparel,Chaussures,contact@studioapparel.com,0127202911,"Zone C, Local 935, 93300 Aubervilliers",Aubervilliers,93300,https://www.studioapparel.com,"Créateur de bijoux fantaisie haut de gamme, alliant tradition et modernité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552757/logos/studio-apparel-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552758/banners/studio-apparel-banner.jpg
